Parameter,Criteria / Definition,Purpose for Risk Underwriting,Example Partner 1 (Top Tier Bank),Example Partner 2 (Mid-Tier NBFC),IDFC BANK,INDUSIND,ADITYA BIRLA,SHRIRAM FINANCE,UTKARSH,AXIS FINANCE,CHOLA,AXIS BANK,HDFC BANK,POONAWALA,INCRED,KOTAK,BAJAJ,L&T,BANDHAN,YES BANK,ICICI,PIRAMAL,FINNABLE,TATA CAPITAL,SMFG
Borrower Type,Must be Salaried / Non salaried acceptable,Primary loan segment focus.,Salaried,Salaried,Salaried,Salaried,Salaried,Salaried,Salaried,Salaried,Salaried,Salaried,Salaried,Salaried,Salaried,Salaried,Salaried,Salaried,Salaried,Salaried,Salaried,Salaried,Salaried,Salaried,Salaried
Age (Min),Minimum age at loan application date.,Legal capacity to contract.,24 Years,21 Years,23,21,23,22,23,21,23,23,22,22,23,21,23,23,21,21,22,21,21,22,21
Age (Max),Maximum age at loan maturity date.,Retirement/End of Earning potential.,58 Years,60 Years,28,58,61,58,59,55,60,56,58,55,60,60,55,58,60,60,58,60,55,55,55
Minimum Monthly Net Income (NMI),"Post-tax, verifiable take-home salary.",Capacity to afford EMI.,"₹40,000","₹25,000",20000,Listed 25k / unlisted 30k,40K ,25k,30k,40k,25K,35k,35k,30k,15k,35K,50k,35K,25K,25K,35,28K,20K,25K,25K
Own House Proof,Mandatory or not ,,Mandatory,Not Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory
Rate of Interest,,,10.50%,11.50%,10.5,9.99,12.99,13,14,13.5,16,9.99,9.99,11.99,13.49,9.97,10.75,11.75,9.99,10.85,9.99,12.99,15,12.99,16
Non listed companies acceptable,,,Yes,No,No,yes,YES,yes,no,no,NO,no,no,no,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES
Organisation Type,Govt. / PSU / Private Limited / LLP,Classifies source of income stability.,PSU / Govt. / Top Pvt Ltd,Govt. / Listed Pvt Ltd,Govt. / PSU / Private Limited / Listed LLP,Govt. / PSU / Private Limited /  LLP,Govt. / PSU / Private Limited /  LLP,Govt. / PSU / Private Limited /  LLP,Govt. / PSU / Private Limited / Listed LLP,Govt. / PSU / Private Limited / Listed LLP,Govt. / PSU / Private Limited / Listed LLP,Govt. / PSU / Private Limited / Listed LLP,Govt. / PSU / Private Limited / Listed LLP,Govt. / PSU / Private Limited / Listed LLP,Govt. / PSU / Private Limited / LLP,Govt. / PSU / Private Limited / Listed LLP,Govt. / PSU / Private Limited / Listed LLP,Govt. / PSU / Private Limited / Listed LLP,Govt. / PSU / Private Limited / Listed LLP,Govt. / PSU / Private Limited /  LLP,Govt. / PSU / Private Limited /  LLP,Govt. / PSU / Private Limited /  LLP,Govt. / PSU / Private Limited /  LLP,Govt. / PSU / Private Limited / LISTED LLP,Govt. / PSU / Private Limited / LISTED LLP
Company Classification,"Categorized based on rating (e.g., Cat A/B/C) or list (e.g., Listed Company).",Credit Policy Segmentation. Indicates job stability and low default risk.,CAT A (Listed Top 500),CAT B (Listed / Well-Known),,,,,,,,,,,,,,,,,,,,,
Current Salary Credit Type (only if deposited in the bank),How salary is received as per bank statement.,"Verification of Income. Must be consistent, non-cash credit.",Bank Salary Credit Only,Bank Salary Credit Only,Bank salary credit only,Bank salary credit only,Bank salary credit only,Bank salary credit only,Bank salary credit only,Bank salary credit only,Bank salary credit only,Bank salary credit only,Bank salary credit only,Bank salary credit only,Bank salary credit only,Bank salary credit only,Bank salary credit only,Bank salary credit only,Bank salary credit only,Bank salary credit only,Bank salary credit only,Bank salary credit only,Bank salary credit only,Bank salary credit only,Bank salary credit only
Tenure at Current Employer,Minimum months/years at the present job.,Job stability check.,1 Year,6 Months,1month,3months,1Month,3months,2months,1month,1month,1month,1month,1month,3months,1month,1Month,1Month,1Month,3MONTHS,1MONTH,3MONTHS,3MONTHS,3MONTHS,3MONTHS
Overall Experience,Total years of professional experience.,Career stability and long-term income profile.,3 Years,2 Years,3months,2years,2years,2years,2years,2years,5years,2years,2years,2years,3months,2years,2year,2year,1year,2YEARS,2YEARS,2YEARS,2YEARS,2YEARS,2YEARS
CIBIL Score (Min),Minimum CIBIL score required.,Primary indicator of credit character.,750,700,700 above,700 above,700 above,680above,680 above,700 above,685 above,700 above,700 above,700 above,700above,700 above,700 above,700 above,700 above,700 ABOVE,700 ABOVE,700 ABOVE,700 ABOVE,700 ABOVE,700 ABOVE
No. of Enquiries (Last 6 months),Hard inquiries recorded in the Enquiry Section.,Velocity Check/Credit Hunger. Too many applications signal desperation.,≤3,≤5,<12,<6,<5,<4,<7,<4,<5,<9,<5,<8,<8,<5,<5,<5,<4,<4,<4,<4,<4,<4,<4
No. of Enquiries (Last 3 months),Hard inquiries recorded in the Enquiry Section.,,≤1,≤15,<5,<6,<30,<4,<7,<4,<5,<3,<3,<8,<8,<5,<5,<5,<4,<4,<4,<4,<4,<4,<4
DPD Criteria (Last 30 days),Days Past Due history.,Recent repayment discipline.,No DPD (all 000/STD),Max 1 occurrence of 30 DPD,<30,,,,,,,,,,,,,,,,,,,,
DPD Criteria (Last 60 days),Days Past Due history.,Consistency in payment behavior.,No DPD ≥60,No DPD ≥90,<30,,,,,,,,,,,,,,,,,,,,
DPD Criteria (Last 90 days),Days Past Due history.,,,,<30,,,,,,,,,,,,,,,,,,,,
DPD Criteria (above 90 days),Days Past Due history.,,,,<30,,,,,,,,,,,,,,,,,,,,
Settled Accounts Eligibility,Accounts marked as 'Settled' or 'Written Off'.,Severe Risk Indicator.,Not Eligible,Not Eligible,Not eligible,Not eligible,Not eligible,Not eligible,Not eligible,Not eligible,Not eligible,Not eligible,Not eligible,Not eligible,Not eligible,Not eligible,Not eligible,Not eligible,Not eligible,Not eligible,Not eligible,Not eligible,Not eligible,Not eligible,Not eligible
Credit Vintage,Age of the oldest active credit account (min years).,Length of demonstrable credit behavior.,2 Years,1 Year,1Year,1year,1year,1year,1year,1year,1year,1year,1year,1year,1year,1year,1year,1year,1year,1year,1year,1year,1year,1year,1year
New to Credit (NTC),Absence of any CIBIL history (Score NA/NH).,"""Thin File"" Acceptance.",Not Eligible,Case-by-Case (with high NMI),No,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,YES,YES,YES,YES,YES,YES
Fixed Obligation vs Income Ratio (FOIR),Same as DTI (Debt-to-Income Ratio) - (Total EMIs/NMI)×100.,Determines residual cash flow.,≤40%,≤50%,<50%,,,,,,,,,,,,,,,,,,,,
Bank Statement Check (EPFO),Verification of EPFO employer/employee contribution to cross-check income/employment.,Digital Fraud Check. Provides independent employment confirmation.,Mandatory Check,Preferred Check,Mandatory Check,Mandatory Check,Mandatory Check,Mandatory Check,Mandatory Check,Mandatory Check,Mandatory Check,Mandatory Check,Mandatory Check,Mandatory Check,Mandatory Check,Mandatory Check,Mandatory Check,Mandatory Check,Mandatory Check,Mandatory Check,Mandatory Check,Mandatory Check,Mandatory Check,Mandatory Check,Mandatory Check
Dedupe Check (Internal/External),Checking if the borrower's identity is on an internal/external fraud watchlist.,Fraud Prevention. Mandatory for every application.,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory
Company Check (Verification),MCA ,Risk assessment of the employer.,Mandatory for Cat B/C,Mandatory for Cat C,no,no,yes,,,,,,,,,,,,,,,,,,
Pincode (High Risk Area),Checking the borrower's residence/office pin code against a high-risk location list.,Geographic Risk Assessment. Default rates can vary by location.,Accept only Low Risk Pincodes,Avoid Red Zone Pincodes,,,,,,,,,,,,,,,,,,,,,
Age (Max at Maturity),,,60,65,no,,,,,,,,,,,,,,,,,,,,
Employment Stability,,,Yes,No,3months,2years,2years,2years,2years,2years,5years,2years,2years,2years,2years,2years,2years,2years,2years,2years,2years,2years,2years,2years,2years
Bonus Inclusion Rule,,,No,Yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,NO,NO,NO,NO,NO,NO,NO
Minimum Loan Amount,,,10000,"10,00,000",1000000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
Maximum Loan Amount (Others),,,100000,200000,10000000,5000000,500000,2500000,1500000,5000000,3000000,10000000,10000000,5000000,1500000,10000000,5000000,2950000,2500000,5000000,10000000,2500000,1000000,4000000,2500000